game_id,game_name,name_in_vg,estimated_revenue,estimated_units_sold,number_of_reviews,steam_rating
20200,Galactic Bowling,Galactic Bowling,69,5,17,0.353
655370,Train Bandit,Train Bandit,901,1,63,0.889
1732930,Jolt Project,Jolt Project,0,0,0,0.0
1355720,Henosis™,NULL,NULL,NULL,NULL,NULL
1659180,TD Worlds,TD Worlds,6,900,30,0.7
1968760,Legend of Rome - The Wrath of Mars,Legend of Rome - The Wrath of Mars,0,0,0,0.0
1178150,MazM: Jekyll and Hyde,MazM: Jekyll and Hyde,28,2,94,0.915
320150,Deadlings: Rotten Edition,NULL,NULL,NULL,NULL,NULL
1026420,WARSAW,WARSAW,536000,32,887,0.722
1620060,Clockwork Dungeon,Clockwork Dungeon,223,210,7,1.0
825930,Royal Battleships,Royal Battleships,788,498,58,0.7929999999999999
1454010,Diary of Lucie,Diary of Lucie,86,9,329,0.903
22670,Alien Breed 3: Descent,Alien Breed 3: Descent,650000,99,504,0.73
1330820,Hunting Unlimited 3,Hunting Unlimited 3,4,600,20,1.0
346560,Hero of the Kingdom II,Hero of the Kingdom II,631000,134000,2253,0.945
1097880,Super Naughty Maid 2,Super Naughty Maid 2,381000,33,1247,0.878
1362670,KHIO,KHIO,1,120,4,0.75
290870,Steam Squad,Steam Squad,52,4,91,0.659
575760,Project: R.E.B.O.O.T 2,Project: R.E.B.O.O.T 2,1,2,68,0.515
434030,Aerofly FS 2 Flight Simulator,Aerofly FS 2 Flight Simulator,2800000,66,1953,0.785
810740,Turtle Lu,Turtle Lu,1,648,15,0.33299999999999996
2073470,Kanjozoku Game レーサー,Kanjozoku Game レーサー,287000,85,2834,0.852
589250,PowersVR,PowersVR,12,1,59,0.627
677880,Draw Your Game,Draw Your Game,17,3,70,0.257
1294780,Pathfinders: Memories,Pathfinders: Memories,2,1,49,0.878
1342850,Bright Days in Quarantine,Bright Days in Quarantine,1,870,29,0.828
1177420,邻居大叔/UncleNeighbor:uncle Dating Simulator,NULL,NULL,NULL,NULL,NULL
793990,Dupio,Dupio,5,1,41,0.561
1727670,Home Office Tasker,NULL,NULL,NULL,NULL,NULL
955490,Terror In The Atomic Desert,Terror In The Atomic Desert,926,408,12,0.667
552350,Unhappy Ever After,Unhappy Ever After,5,1,25,0.6
42500,DogFighter,DogFighter,393000,191000,426,0.615
1195610,March Of Soldiers,March Of Soldiers,360,30,1,1.0
1095380,Bepuzzled Kittens Jigsaw Puzzle,Bepuzzled Kittens Jigsaw Puzzle,305,218,9,0.778
1158910,Dream Detective,Dream Detective,4,750,25,0.68
1194940,Tower of Shades,Tower of Shades,2,1,42,0.833
262150,Vanguard Princess,Vanguard Princess,523000,164000,2857,0.7020000000000001
1192900,IRON REBELLION,Iron Rebellion,85,7,246,0.813
866150,Treasures of the Ancients: Egypt,Treasures of the Ancients: Egypt,3,5,154,0.35700000000000004
231330,Deadfall Adventures,Deadfall Adventures,5800000,329000,2391,0.736
1056520,Who We Are Now,Who We Are Now,3,274,10,0.6
897820,Reigns: Game of Thrones,Reigns: Game of Thrones,96,33,927,0.782
1777550,Fuyu no Tsuma,Fuyu no Tsuma,192,120,4,0.5
552520,Far Cry® 5,NULL,NULL,NULL,NULL,NULL
718350,Loot Collection: Mahjong,Loot Collection: Mahjong,254,238,8,0.5
433450,INFERNO CLIMBER,INFERNO CLIMBER,62,3,109,0.569
1709450,Grim Tales: The Heir Collector's Edition,Grim Tales: The Heir Collector's Edition,2,330,11,0.909
1431470,Mythos Ever After: A Cthulhu Dating Sim,Mythos Ever After: A Cthulhu Dating Sim,120,30,1,1.0
1794920,Pool Adventure,Pool Adventure,268,540,18,0.5
763550,A Journey Through Valhalla,A Journey Through Valhalla,864,180,6,0.5
1445370,COUNTDOWN,Judge Dredd: Countdown Sector 106,6,1,16,0.813
464230,Colours of Magic: Aqua Teeter,Colours of Magic: Aqua Teeter,7,11,89,0.809
1293830,Forza Horizon 4,Forza Horizon 4,184000000,5300000,176269,0.887
1509640,Viking Warrior,Viking Warrior,1,660,22,0.136
1135380,不可思议佣兵团,不可思议佣兵团,1,382,10,0.6
1944730,Square Keeper,Square Keeper,1,450,15,0.9329999999999999
1144900,Pension Day,Pension Day,18,30,1,0.0
306350,Slipstream 5000,Slipstream 5000,66,21,381,0.753
1684530,100 Doors: Escape from Work,100 Doors: Escape from Work,2,390,13,0.6920000000000001
1557480,Project MIKHAIL: A Muv-Luv War Story,NULL,NULL,NULL,NULL,NULL
1128520,Rezist: Tower Defense,Rezist: Tower Defense,1,254,7,1.0
12140,Max Payne,Max Payne 3,35800000,2800000,45474,0.856
1647430,Black Mansion,Black Mansion,126,30,1,1.0
1845050,Mirrorama,Mirrorama,5,630,21,0.9520000000000001
1163340,Carrier Battles 4 Guadalcanal - Pacific War Naval Warfare,NULL,NULL,NULL,NULL,NULL
1608620,Ballistic Machines,Ballistic Machines,0,0,0,0.0
541570,Sally Face - Episode One,Sally Face - Episode One,986000,450000,14794,0.97
1119070,Shibui Coliseum,Shibui Coliseum,0,0,0,0.0
1292520,Crimson Spires,Crimson Spires,28,1,64,0.922
1467330,Endline,Endline,90,30,1,1.0
1624600,Realms VR,Realms VR,1,270,9,0.778
1621490,MagicShop3D,MagicShop3D,19,2,95,0.789
768060,The Warrior Of Treasures,The Warrior Of Treasures,1,1,43,0.698
1746130,Onmyoji in the Otherworld: Sayaka's Story,Onmyoji in the Otherworld: Sayaka's Story,9,660,22,0.909
1281400,Good Knight,Good Knight,27,2,89,0.966
372890,Red Crow Mysteries: Legion,Red Crow Mysteries: Legion,10,1,39,0.308
1023420,四国志でらっくす ～酒池肉うどん戦記～,四国志でらっくす ～酒池肉うどん戦記～,510,30,1,0.0
1141880,Crazy Critters - Combat Cats,Crazy Critters - Combat Cats,1,720,24,0.792
1022840,The Adventures of Jason and the Argonauts,The Adventures of Jason and the Argonauts,2,792,27,0.852
652160,DC Wonder: Unlimited,DC Wonder: Unlimited,120,30,1,1.0
968580,Halloween Puzzles,Holiday Mosaics Halloween Puzzles,456,180,6,1.0
1131550,I Walk Among Zombies Vol. 3,I Walk Among Zombies Vol. 3,64,6,210,0.895
368080,Aurion: Legacy of the Kori-Odan,Aurion: Legacy of the Kori-Odan,411000,34,321,0.6729999999999999
572510,Superola Champion Edition,SUPEROLA CHAMPION EDITION,2,570,19,0.9470000000000001
1225870,Hentai Girlfriend Simulator,Hentai Girlfriend Simulator,1,2,88,0.602
1066890,Automobilista 2,Automobilista 2,4700000,180000,5989,0.903
457140,Oxygen Not Included,Oxygen Not Included,30800000,1900000,98511,0.966
1774810,Laruaville 10 Match 3 Puzzle,NULL,NULL,NULL,NULL,NULL
1886290,Slot Shots Pinball Collection,Slot Shots Pinball Collection,9,1,40,0.975
1514360,Laid-Back Camp - Virtual - Lake Motosu,ゆるキャン△ VIRTUAL CAMP ～本栖湖編～ / Laid-Back Camp - Virtual - Lake Motosu,127000,10,336,0.7829999999999999
1374280,Kor,NULL,NULL,NULL,NULL,NULL
863490,Bighead Runner,Bighead Runner,9,16,127,0.7559999999999999
396640,TowerClimb,TowerClimb,189000,17,338,0.917
726020,Mission Ammunition,Mission Ammunition,6,2,91,0.78
424060,The Glow,The Glow,3,1,24,0.33299999999999996
1995240,Deer Journey,Deer Journey,5,1,39,0.769
514870,Fat City,Fat City,816,102,3,1.0
695420,Hex: Origins,Hex: Origins,1,350,8,1.0
587490,Dark Throne,NULL,NULL,NULL,NULL,NULL
546050,Puyo Puyo™Tetris®,Puyo Puyo™Tetris®,2900000,200000,5157,0.8370000000000001
301700,Numba Deluxe,Numba Deluxe,27,14,264,0.636
2004200,Pickup One,Pickup One,3,210,7,0.28600000000000003
1588070,DuckMan,DuckMan,916,360,12,0.16699999999999998
730310,DYNASTY WARRIORS 9,DYNASTY WARRIORS 9,3900000,94,9405,0.34299999999999997
242530,The Chaos Engine,The Chaos Engine,410000,63,388,0.657
1372570,Domino House,Domino House,4,840,28,0.893
1345820,Ragnarock,Ragnarock,1100000,75,2510,0.95
420270,Into the Void,Landinar: Into the Void,108000,7,221,0.597
435790,10 Second Ninja X,10 Second Ninja X,1100000,217000,2804,0.797
926310,咕啾！文鸟恋爱物语 Love Story of Sparrow,咕啾！文鸟恋爱物语 Love Story of Sparrow,5,7,289,0.903
788020,Critical Gravity,Critical Gravity,2,270,8,0.75
467400,Go For Launch: Mercury,Go For Launch: Mercury,23,2,69,0.841
856730,ARENA 8,ARENA 8,77,164,5,0.2
1106950,Furries & Scalies: Friendswood,Furries & Scalies: Friendswood,240,30,1,1.0
1274570,DEVOUR,DEVOUR,6400000,1800000,59941,0.9179999999999999
1470790,Doug Flutie's Maximum Football 2020,Doug Flutie's Maximum Football 2020,23,1,57,0.509
